epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9093866944313049,0.292743444442749,0.001,0.9873999953269958,0.03868855908513069
1,0.9631440043449402,0.11968432366847992,0.00095,0.9900000095367432,0.030969295650720596
2,0.9696176052093506,0.09908651560544968,0.0009025,0.9908999800682068,0.02823532745242119
3,0.9749900102615356,0.08157308399677277,0.000857375,0.9933000206947327,0.02041679434478283
4,0.9768919944763184,0.07672061771154404,0.00081450626,0.9912999868392944,0.025388672947883606
5,0.9779097437858582,0.07184693962335587,0.0007737809,0.9926999807357788,0.020123742520809174
6,0.9798117876052856,0.06575682014226913,0.0007350919,0.9944000244140625,0.017537489533424377
7,0.9816303849220276,0.0608024001121521,0.0006983373,0.9940000176429749,0.019359886646270752
8,0.9821810126304626,0.05664205923676491,0.0006634204,0.9941999912261963,0.020882973447442055
9,0.9838494658470154,0.053375519812107086,0.0006302494,0.9939000010490417,0.019337739795446396
10,0.9849005341529846,0.05219376087188721,0.0005987369,0.9952999949455261,0.014957256615161896
11,0.9842665791511536,0.05206228792667389,0.0005688001,0.9944999814033508,0.01617441140115261
12,0.9856013059616089,0.04832127317786217,0.0005403601,0.9941999912261963,0.016936415806412697
13,0.9861852526664734,0.04581723362207413,0.0005133421,0.9937999844551086,0.017895212396979332
14,0.9863020777702332,0.044119127094745636,0.000487675,0.9940999746322632,0.01761188730597496
15,0.9860517978668213,0.046397510915994644,0.00046329122,0.9934999942779541,0.019446829333901405
16,0.9871363043785095,0.041328366845846176,0.00044012666,0.9939000010490417,0.01981504075229168
17,0.9874032139778137,0.042198095470666885,0.00041812033,0.9952999949455261,0.016738638281822205
18,0.9884710311889648,0.038752298802137375,0.00039721432,0.9959999918937683,0.01429178286343813
19,0.9885210990905762,0.038402970880270004,0.0003773536,0.9952999949455261,0.01606990583240986
